creationDate,component,totalEffort,avg(severity),avg(maintainability_Rating),avg(security_Rating),avg(reliability_Rating),count(DISTINCT author),TDS,Change Log - Effort,Change Log - Severity,,PC - Effort,PC - Severity,PC - TDS,Functional Weighting,Architectural Weighting,Diff (Func-Arch),Neutral Weighting,Diff (Func-Neutral)
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/aggregator/GlobalIndexUidAggregator.java,12,0.2,1,0.1,0.05,1,2.4,2->12,No,0.4->2.4,500,0,500,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/aggregator/GlobalIndexUidAggregator.java,2,0.2,1,0.1,0.05,1,0.4,12->2,No,2.4->0.4,83.33333333,0,83.33333333,1,1,FALSE,2,TRUE
2011-12-27T18:19:43Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/aggregator/GlobalIndexUidAggregator.java,24,0.2,1,0.1,0.05,1,4.8,2->24,No,0.4->4.8,1100,0,1100,1,1,FALSE,2,TRUE
2012-01-05T15:51:52Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/aggregator/GlobalIndexUidAggregator.java,2,0.2,1,0.1,0.05,1,0.4,24->2,No,4.8->0.4,91.66666667,0,91.66666667,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/ArticleExtractor.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/ArticleExtractor.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaConfiguration.java,12,0.2,1,0.1,0.05,1,2.4,2->12,No,0.4->2.4,500,0,500,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaConfiguration.java,2,0.2,1,0.1,0.05,1,0.4,12->2,No,2.4->0.4,83.33333333,0,83.33333333,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaIngester.java,12,0.2,1,0.1,0.05,1,2.4,2->12,No,0.4->2.4,500,0,500,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaIngester.java,2,0.2,1,0.1,0.05,1,0.4,12->2,No,2.4->0.4,83.33333333,0,83.33333333,1,1,FALSE,2,TRUE
2011-12-27T18:19:43Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaIngester.java,24,0.2,1,0.1,0.05,1,4.8,2->24,No,0.4->4.8,1100,0,1100,1,1,FALSE,2,TRUE
2012-01-05T15:51:52Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaIngester.java,2,0.2,1,0.1,0.05,1,0.4,24->2,No,4.8->0.4,91.66666667,0,91.66666667,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaInputFormat.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaInputFormat.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaMapper.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/ingest/WikipediaMapper.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/iterator/TotalAggregatingIterator.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/iterator/TotalAggregatingIterator.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/LcNoDiacriticsNormalizer.java,40,0.2,1,0.1,0.05,1,8,2->40,No,0.4->8,1900,0,1900,1,1,FALSE,2,TRUE
2011-12-09T16:59:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/LcNoDiacriticsNormalizer.java,2,0.2,1,0.1,0.05,1,0.4,40->2,No,8->0.4,95,0,95,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/NoOpNormalizer.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/NoOpNormalizer.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
2011-10-18T17:14:16Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/Normalizer.java,36,0.2,1,0.1,0.05,1,7.2,2->36,No,0.4->7.2,1700,0,1700,1,1,FALSE,2,TRUE
2011-12-05T20:21:12Z,org:apache:accumulo:contrib/accumulo_sample/ingest/src/main/java/normalizer/Normalizer.java,2,0.2,1,0.1,0.05,1,0.4,36->2,No,7.2->0.4,94.44444444,0,94.44444444,1,1,FALSE,2,TRUE
