functionality;architecture;neutral
[0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.008849557522123894, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168, 0.02654867256637168];[0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.007042253521126761, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043];[0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.02459016393442623, 0.01639344262295082, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623, 0.02459016393442623]
[0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.03896103896103896, 0.03896103896103896];[0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.043010752688172046, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.010752688172043012, 0.043010752688172046, 0.043010752688172046];[0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223]
[0.02857142857142857, 0.02857142857142857, 0.08571428571428572, 0.08571428571428572, 0.08571428571428572, 0.08571428571428572, 0.08571428571428572, 0.08571428571428572, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.08571428571428572, 0.02857142857142857, 0.08571428571428572];[0.023255813953488372, 0.023255813953488372, 0.09302325581395349, 0.09302325581395349, 0.09302325581395349, 0.09302325581395349, 0.09302325581395349, 0.09302325581395349, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.023255813953488372, 0.09302325581395349, 0.023255813953488372, 0.09302325581395349];[0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.06818181818181818, 0.045454545454545456, 0.045454545454545456, 0.06818181818181818, 0.045454545454545456, 0.045454545454545456, 0.06818181818181818, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.06818181818181818, 0.045454545454545456, 0.06818181818181818, 0.045454545454545456, 0.06818181818181818]
[0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525];[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666];[0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525]
[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333];[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.4];[0.11764705882352941, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413]
[0.030303030303030304, 0.030303030303030304, 0.09090909090909091, 0.09090909090909091, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.09090909090909091, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.030303030303030304];[0.02564102564102564, 0.02564102564102564, 0.10256410256410256, 0.10256410256410256, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.10256410256410256, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.02564102564102564];[0.04081632653061224, 0.04081632653061224, 0.04081632653061224, 0.061224489795918366, 0.04081632653061224, 0.061224489795918366, 0.04081632653061224, 0.04081632653061224, 0.04081632653061224, 0.04081632653061224, 0.04081632653061224, 0.061224489795918366, 0.04081632653061224, 0.04081632653061224, 0.04081632653061224, 0.061224489795918366, 0.04081632653061224, 0.061224489795918366, 0.061224489795918366, 0.061224489795918366, 0.04081632653061224]
[0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727];[0.07692307692307693, 0.07692307692307693, 0.3076923076923077, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.3076923076923077];[0.125, 0.125, 0.125, 0.125, 0.1875, 0.1875, 0.125]
[0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285];[0.125, 0.125, 0.5, 0.125, 0.125];[0.2, 0.2, 0.2, 0.2, 0.2]
[0.2, 0.2, 0.6];[0.16666666666666666, 0.16666666666666666, 0.6666666666666666];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.2, 0.26666666666666666];[0.05555555555555555, 0.05555555555555555, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222];[0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.2, 0.26666666666666666]
