functionality;architecture;neutral
[0.14285714285714285, 0.7142857142857143, 0.14285714285714285];[0.14285714285714285, 0.7142857142857143, 0.14285714285714285];[0.25, 0.375, 0.375]
[0.4444444444444444, 0.5555555555555556];[0.16666666666666666, 0.8333333333333334];[0.6, 0.4]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.25, 0.25, 0.25, 0.25];[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714];[0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727]
[0.25, 0.25, 0.25, 0.25];[0.25, 0.25, 0.25, 0.25];[0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.25, 0.375, 0.375]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091];[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091];[0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333]
[0.125, 0.625, 0.125, 0.125];[0.125, 0.625, 0.125, 0.125];[0.25, 0.25, 0.25, 0.25]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.8, 0.2];[0.5, 0.5];[0.5, 0.5]
[0.25, 0.25, 0.25, 0.25];[0.25, 0.25, 0.25, 0.25];[0.25, 0.25, 0.25, 0.25]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.2, 0.2, 0.2, 0.2, 0.2];[0.2, 0.2, 0.2, 0.2, 0.2];[0.2, 0.2, 0.2, 0.2, 0.2]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.2857142857142857, 0.2857142857142857, 0.42857142857142855]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333];[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[0.5, 0.5];[0.5, 0.5];[0.5, 0.5]
[0.5, 0.5];[0.5, 0.5];[0.3333333333333333, 0.6666666666666666]
[0.16666666666666666, 0.8333333333333334];[0.16666666666666666, 0.8333333333333334];[0.4, 0.6]
[0.5, 0.5];[0.5, 0.5];[0.6, 0.4]
[0.5, 0.5];[0.5, 0.5];[0.6, 0.4]
